CMDLINE /Users/cconlon/anaconda3/bin/python3.7 2_Process_WRDS_Data.py
MEM 7522.074219 1593110084.5584
MEM 6979.230469 1593110084.6610
MEM 7091.816406 1593110084.7662
MEM 7304.550781 1593110084.8710
MEM 7515.601562 1593110084.9762
MEM 7721.542969 1593110085.0789
MEM 7931.839844 1593110085.1811
MEM 8064.917969 1593110085.2835
MEM 8064.917969 1593110085.3841
MEM 8064.917969 1593110085.4844
MEM 8064.917969 1593110085.5891
MEM 8064.917969 1593110085.6901
MEM 8064.917969 1593110085.7945
MEM 8064.917969 1593110085.8956
MEM 8064.917969 1593110086.0008
MEM 7640.628906 1593110086.1027
MEM 7038.921875 1593110086.2066
MEM 7206.035156 1593110086.3068
MEM 7386.363281 1593110086.4082
MEM 7544.468750 1593110086.5103
MEM 7761.390625 1593110086.6124
MEM 7973.960938 1593110086.7128
MEM 8195.914062 1593110086.8180
MEM 8409.171875 1593110086.9196
MEM 8631.085938 1593110087.0248
MEM 8847.039062 1593110087.1252
MEM 9060.945312 1593110087.2304
MEM 9281.937500 1593110087.3316
MEM 9514.261719 1593110087.4328
MEM 9763.250000 1593110087.5339
MEM 10011.500000 1593110087.6344
MEM 10265.039062 1593110087.7366
MEM 8836.003906 1593110087.8418
MEM 8200.632812 1593110087.9470
MEM 8353.296875 1593110088.0491
MEM 8575.019531 1593110088.1528
MEM 8788.500000 1593110088.2542
MEM 9000.796875 1593110088.3555
MEM 9208.722656 1593110088.4566
MEM 9286.320312 1593110088.5579
MEM 9286.320312 1593110088.6591
MEM 9286.320312 1593110088.7604
MEM 9286.320312 1593110088.8654
MEM 9391.128906 1593110088.9684
MEM 9602.042969 1593110089.0704
MEM 9823.804688 1593110089.1756
MEM 9829.164062 1593110089.2765
MEM 9829.164062 1593110089.3776
MEM 9829.164062 1593110089.4823
MEM 8743.476562 1593110089.5876
MEM 8908.707031 1593110089.6896
MEM 9147.425781 1593110089.7948
MEM 9369.703125 1593110089.8966
MEM 9586.402344 1593110089.9979
MEM 9814.878906 1593110090.0991
MEM 10034.765625 1593110090.2043
MEM 10255.363281 1593110090.3061
MEM 10486.765625 1593110090.4113
MEM 10710.148438 1593110090.5143
MEM 10931.972656 1593110090.6147
MEM 11190.992188 1593110090.7168
MEM 11447.179688 1593110090.8183
MEM 11707.851562 1593110090.9204
MEM 11971.500000 1593110091.0230
MEM 12249.128906 1593110091.1282
MEM 10100.585938 1593110091.2334
MEM 10100.585938 1593110091.3386
MEM 10226.777344 1593110091.4390
MEM 10372.007812 1593110091.5392
MEM 10372.007812 1593110091.6396
MEM 10372.007812 1593110091.7448
